CGATS.17
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
308	204	178	0	0.4082098	0.4467912	0.0647381
309	204	204	0	0.464932	0.5602356	0.0836455
310	204	229	0	0.5291937	0.6887589	0.1050661
311	204	255	0	0.6065972	0.8435659	0.1308673
312	229	25	0	0.3265999	0.173563	0.0163051
313	229	51	0	0.3349615	0.1902862	0.0190923
314	229	76	0	0.3489671	0.2182973	0.0237609
315	229	102	0	0.3706354	0.261634	0.0309836
316	229	127	0	0.3990142	0.3183915	0.0404432
317	229	153	0	0.4370311	0.3944254	0.0531155
318	229	178	0	0.4823208	0.4850046	0.0682121
319	229	204	0	0.539043	0.5984491	0.0871195
320	229	229	0	0.6033046	0.7269724	0.10854
321	229	255	0	0.6807081	0.8817794	0.1343412
322	255	25	0	0.415867	0.2195913	0.0204895
323	255	51	0	0.4242285	0.2363145	0.0232767
324	255	76	0	0.4382341	0.2643256	0.0279452
325	255	102	0	0.4599024	0.3076623	0.035168
326	255	127	0	0.4882812	0.3644198	0.0446276
327	255	153	0	0.5262981	0.4404537	0.0572999
328	255	178	0	0.5715878	0.531033	0.0723965
329	255	204	0	0.62831	0.6444774	0.0913039
330	255	229	0	0.6925716	0.7730007	0.1127244
331	255	255	0	0.7699751	0.9278077	0.1385256
332	255	25	25	0.4176214	0.2202931	0.0297299
333	255	25	51	0.4218417	0.2219812	0.0519567
334	255	25	76	0.4289106	0.2248088	0.0891863
335	255	25	102	0.4398471	0.2291834	0.1467851
336	255	25	127	0.4541705	0.2349127	0.2222217
337	255	25	153	0.4733585	0.2425879	0.3232785
338	255	25	178	0.4962172	0.2517314	0.4436676
339	255	25	204	0.5248462	0.263183	0.5944468
340	255	25	229	0.5572805	0.2761567	0.7652674
341	255	25	255	0.5963477	0.2917836	0.9710217
342	255	51	25	0.425983	0.2370163	0.0325171
343	255	51	51	0.4302033	0.2387044	0.0547439
344	255	51	76	0.4372722	0.241532	0.0919735
345	255	51	102	0.4482087	0.2459066	0.1495723
346	255	51	127	0.4625321	0.2516359	0.2250089
347	255	51	153	0.4817201	0.2593111	0.3260657
348	255	51	178	0.5045788	0.2684546	0.4464548
349	255	51	204	0.5332078	0.2799062	0.597234
350	255	51	229	0.5656421	0.2928799	0.7680546
351	255	51	255	0.6047093	0.3085068	0.9738089
352	255	76	25	0.4399886	0.2650274	0.0371856
353	255	76	51	0.4442089	0.2667155	0.0594124
354	255	76	76	0.4512778	0.269543	0.096642
355	255	76	102	0.4622143	0.2739176	0.1542409
