CGATS.17
FORMAT_VERSION	2
MEASUREMENT_SOURCE	Simulated sRGB data
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS	602
BEGIN_DATA
357	153	255	153	54.644167	80.590078	42.814150
358	153	255	178	56.930036	81.504425	54.853060
359	153	255	204	59.792933	82.649584	69.930985
360	153	255	229	63.036362	83.946956	87.013041
361	153	255	255	66.943089	85.509646	107.588470
362	178	0	0	18.359688	9.466714	0.860610
363	178	0	25	18.535137	9.536894	1.784643
364	178	0	51	18.957165	9.705705	4.007325
365	178	0	76	19.664056	9.988461	7.730282
366	178	0	102	20.757706	10.425921	13.490172
367	178	0	127	22.190045	10.998857	21.033826
368	178	0	153	24.108845	11.766377	31.139506
369	178	0	178	26.394714	12.680724	43.178415
370	178	0	204	29.257611	13.825883	58.256340
371	178	0	229	32.501039	15.123255	75.338397
372	178	0	255	36.407766	16.685945	95.913826
373	178	25	0	18.707303	10.161945	0.976482
374	178	25	255	36.755382	17.381176	96.029697
375	178	51	0	19.543462	11.834263	1.255202
376	178	51	255	37.591541	19.053495	96.308417
377	178	76	0	20.944016	14.635370	1.722053
378	178	76	255	38.992095	21.854602	96.775268
379	178	102	0	23.110851	18.969040	2.444331
380	178	102	255	41.158930	26.188272	97.497547
381	178	127	0	25.948727	24.644793	3.390290
382	178	127	255	43.996806	31.864025	98.443505
383	178	153	0	29.750422	32.248182	4.657522
384	178	153	255	47.798500	39.467413	99.710737
385	178	178	0	34.279385	41.306109	6.167176
386	178	178	255	52.327464	48.525340	101.220391
387	178	204	0	39.951608	52.650554	8.057917
388	178	204	255	57.999686	59.869785	103.111132
389	178	229	0	46.377772	65.502883	10.199972
390	178	229	255	64.425851	72.722114	105.253187
391	178	255	0	54.118122	80.983582	12.780088
392	178	255	25	54.293571	81.053762	13.704121
393	178	255	51	54.715599	81.222573	15.926803
394	178	255	76	55.422490	81.505329	19.649760
395	178	255	102	56.516140	81.942789	25.409650
396	178	255	127	57.948479	82.515725	32.953304
397	178	255	153	59.867279	83.283245	43.058984
398	178	255	178	62.153148	84.197592	55.097893
399	178	255	204	65.016045	85.342751	70.175818
